title,description,cost,license,app_type,origin,platform,supported_languages
Canta,"Canta is a software tool designed to facilitate the uninstallation of apps from your device, irrespective of whether root access is available or not. It provides a solution for removing any application, even those that might be deeply ingrained within the system. Newsoftware releases",Free,Open Source ( LGPL-3.0 ),"Software Uninstaller, System Cleaner","Slovenia, EU","Android, F-Droid",English
Obiklip,Obiklip simplifies video editing for speech and podcast content.,Pay once,Proprietary,"Audio Transcription Tool, Video Transcription Tool",N/A,"Mac, Windows","English, Afrikaans, Bosnian, Czech, Finnish, Hebrew, Italian, Latvian, Maori, Portuguese, Slovene, Tamil, Vietnamese, Arabic, Bulgarian, Danish, French, Hindi, Japanese, Lithuanian, Nepali, Romanian, Spanish, Thai, Welsh, Armenian, Catalan; Valencian, Dutch, Galician, Hungarian, Kannada, Macedonian, Norwegian, Russian, Swahili, Turkish, Azerbaijani, Chinese, German, Icelandic, Kazakh, Malay, Persian, Serbian, Swedish, Ukrainian, Belarusian, Croatian, Estonian, Greek, Indonesian, Korean, Marathi, Polish, Slovak, Tagalog, Urdu, ▾"
DeftGPT,DeftGPT is the advanced and upgraded version of ChatGPT providing you with instant access to information right on your browser.,Subscription,Proprietary,"AI Chatbot, AI Writing Tool",United States,"Software as a Service (SaaS), Online","English, French, German, Chinese, Portuguese, Czech, Malay, Korean, Japanese, Italian, Dutch"
Grayjay,"Multi-platform streaming client supporting YouTube, Twitch, Odysee, Rumble, PeerTube, Dailymotion, Patreon, Kick, and more, featuring a unified feed, playlist import, live chat, background play, offline downloads, local playlist management, and device casting.",Free,Proprietary,"YouTube Client, Video Streaming App",United States,"Mac, Windows  , Linux, Android, Android Tablet, Flathub, F-Droid, Flatpak","English, Arabic, German, Spanish, French, Japanese, Korean, Portuguese, Russian, Chinese"
PeerPanda,PeerPanda is a web-based tool tailored for Product Managers and Marketers seeking an efficient way to keep tabs on their competitors.,Freemium (Subscription),Proprietary,N/A,N/A,Online,English
Guidejar,"Transform documentation with AI-powered guides and demos. Enjoy seamless workflow capture via the browser, embed online, and customize with branding. Optimize guide visibility with SEO and enhance engagement using no-code features like click targets and CTAs. WebBrowsers",Freemium (Subscription),Proprietary,"Product Demo Builder, Screen Recorder",India,"Mac, Windows, Online, Google Chrome, Software as a Service (SaaS)",English
PrivacyPros,"PrivacyPros is a website that allows it's subscribers to have their information deleted from the web - stop scam calls, trolls, hackers, and the like.",Subscription,Proprietary,Privacy Tool,N/A,Online,English
Infographic Maker for iOS,Unleash your creativity and effectively communicate your ideas through stunning infographics. Download Infographic Maker now and start visualizing your concepts effortlessly.,Freemium (Subscription),Proprietary,N/A,N/A,"iPhone, iPad",English
Commitspark,Commitspark is a headless Content Management System (CMS) built entirely on GitHub.,Free,Proprietary ( ISC ),N/A,N/A,"Online  , Self-Hosted  ",English
Aptree Learning,"Aptree is a state-of-the-art Learning Management System (LMS) built with a focus on ease of use, versatility, and efficiency.",Free,Open Source ( GPL-3.0 ),"Online Education Service, Learning Management System",N/A,Online,English
Resources,"Resources is a simple yet powerful monitor for your system resources and processes, written in Rust and using GTK 4 and libadwaita for its GUI.",Free,Open Source ( GPL-3.0 ),"System Information Utility, Process Monitoring Tool",International,"Linux, Flathub, Linux Mobile",English
PokeTube,"Libre front-end for YouTube prioritizing privacy and anonymity, lacking cookies or tracking, with custom CSS, ambient mode, Return YouTube Dislike API, web search, games, account ID system, and high-quality audio plus YouTube video downloads and no data collection.",Free,Proprietary,"YouTube Downloader, YouTube Client",N/A,"Online, Self-Hosted",English
QR Code AI 2.0,"QR Code AI V2 is here! Next-gen AI allows you to create custom QR codes, including artistic designs. Enjoy smart link previews and advanced analytics. New features and improved AI based on user feedback for a better experience 💜",Freemium (Subscription),Proprietary,QR Code Generator,N/A,Online,"English, Spanish, French, Portuguese, Dutch, Italian, Chinese, Korean, Hindi, Arabic, Indonesian, Russian, Turkish"
Aptree Learning,"Aptree is a state-of-the-art Learning Management System (LMS) built with a focus on ease of use, versatility, and efficiency.",Free,Open Source ( GPL-3.0 ),"Online Education Service, Learning Management System",N/A,Online,English
Resources,"Resources is a simple yet powerful monitor for your system resources and processes, written in Rust and using GTK 4 and libadwaita for its GUI.",Free,Open Source ( GPL-3.0 ),"System Information Utility, Process Monitoring Tool",International,"Linux, Flathub, Linux Mobile",English
Turnip,"Turnip is a menubar timer app that allows you to easily track your time, either directly in-app or to third-party services like FreeAgent or FreshBooks. MobileApps & Add-Ons",Freemium (Subscription),Proprietary,Time Tracking Tool,N/A,Mac,English
MyMeet.io,"MyMeet.io simplifies scheduling, payments, and meeting handling for both professionals and clients, streamlining the entire process.",Subscription,Proprietary,Appointment Scheduler,N/A,Software as a Service (SaaS),English
Shorter.gg,"Shorter.gg is different from other short link services because it offers a complete platform that helps your brand grow and gets more clicks on your short links. It's not just a regular link shortener. It has lots of useful things, like:",Free,Proprietary,"URL Shortener, QR Code Generator",N/A,Online,English
JWIZARD Cleaner,"JWIZARD Cleaner"" optimizes the performance of your device effortlessly. Free up disk space by deleting unnecessary files, cache and Xcode data and improve performance. The intuitive interface makes cleaning and optimizing your system a simple matter. FreeVPN services",Subscription,Proprietary,System Cleaner,United States,Mac  ,"English, French, German, Italian, Portuguese, Russian, Spanish, Turkish"
Discodus,"Are you tired of your Discord server staying hidden in the shadows? 😞 Say hello to Discodus, your ultimate server booster!",Free,Proprietary,N/A,N/A,Online,English
ContentSwift,"ContentSwift - Free content research / optimization tool for SEO. As an alternative for Surfer, Neuronwriter, Frase, etc.. FreeVPN services",Free,Open Source,N/A,N/A,"Mac, Windows, Linux",English
YT Siphon,"YT Siphon is a browser extension that lets you choose to open YouTube videos in alternative frontends. Instead of auto-redirecting, it gives you the power to decide with simple shortcuts.",Free,Open Source ( MIT ),N/A,N/A,Firefox,English
swiftGuard,Anti-forensic macOS tray application designed to safeguard your system by monitoring USB ports. It ensures your device's security by automatically initiating either a system shutdown or hibernation if an unauthorized device connects or a connected device is unplugged. MacOS,Free,Open Source ( GPL-3.0 ),N/A,N/A,Mac,English
Sessionic,"A browser extension to save, manage and restore tabs and sessions. WebBrowsers",Free,Open Source ( AGPL-3.0 ),Tab Manager,Norway,"Microsoft Edge, Google Chrome",English
AiSpartanz.com,"Ai Spartanz.com is a revolutionary Generative AI platform designed to empower businesses and individuals to bring their imaginations to life. With the ability to supercharge a vast array of content, this platform has become an invaluable tool for scaling up marketing materials.",Subscription,Proprietary,N/A,N/A,Online,English
AppyHigh,AppyHigh Prime is the world's First Generative AI Apps bundle which helps the user in enhancing the creativity and supercharge the productivity. Applicationsoftware reviews,Subscription,Proprietary,N/A,India,Online,English
Klarity,Turn your messy voice notes into summarized text & save to notion.,Freemium (Subscription),Proprietary,N/A,N/A,"Online, Android, iPhone",English
Kali,"Manage your time better, faster, and smarter with Kali--your A.I. calendar assistant.",Freemium (Pay once),Proprietary,N/A,N/A,iPhone,English
DiceRight,"DiceRight is an online platform for playing tabletop games. It tracks game aspects like turns and damage to speed up gameplay and eliminate tedious elements. The platform offers extensive customization, including character classes, races, game currencies, and languages.",Free,Proprietary,Virtual Tabletop,N/A,Online,English
InfyniDock,"InfyniDock is a window-level Dock for macOS that lets you preview and jump to the exact app window — not just the app — with live previews, Option + Tab, FloatDock, and workspaces. MacOS",Pay once,Proprietary,"Application Launcher, Dock Utility",China,Mac,"English, Chinese"
"Deepen: AI Therapy, Counseling",The AI Therapy app - a space to explore and understand yourself. Applicationsoftware reviews,Subscription,Proprietary,N/A,United States,"Android, iPhone, iPad, Android Tablet",English
WordMe.ai,"WordMe, a comprehensive AI-driven platform for mastering digital marketing in today's competitive online space. In this digital age, having a strong online footprint is not optional—it's critical.",Freemium (Subscription),Proprietary,N/A,N/A,Online,English
Game Server Watcher,"Game Server Watcher, often abbreviated as GSWatcher, is a straightforward application designed to monitor the status of your preferred game servers and remotely manage your personal servers. It incorporates a buddy list feature and has the capability to alert you when a friend...",Free,Open Source ( AGPL-3.0 ),N/A,N/A,"Linux, Flathub",English
Kleaner,"Kleaner is an image metadata cleaner that can handle EXIF, IPTC, XMP and Comments. It is available under the GPL-3.0 license.",Free,Open Source ( GPL-3.0 ),N/A,N/A,"Linux, Flathub",English
